problem_id,Problem,Query,Label,source_index,type,target_name
prob_1,prob_1,"You want to sell a kind of item in order to maximize your profit. Market research tells you that if you set the price at $1.50, you will be able to sell 5000 items, and for every 10 cents you lower the price below $1.50 you will be able to sell another 1000 items. You can only reduce the price by a multiple of 10 cents. Suppose that your fixed costs ( “start-up costs” ) total $2000, and the per item cost of production ( “marginal cost” ) is $0.50. Find the price to set per item and the number of items sold in order to maximize profit, and also determine the maximum profit you can get.",3600,0,linear-notable,The maximum profit you can get
prob_2,prob_2,"A logistics company is managing the distribution of three types of goods: GoodsX, GoodsY, and GoodsZ. The company needs to determine the number of trucks allocated to each type of goods and the number of trips per truck for each type of goods will make in the upcoming month. For ease of management, the number of trips per truck is the same for all trucks of the same type of goods. Additionally, the company wants to invest in fuel-efficient upgrades of trucks for each type of goods, which will reduce fuel costs per trip. The company has a total of 50 trucks available for the month. The total investment in fuel efficiency upgrades cannot exceed $60,000. Due to operational constraints, each truck can make no more than 20 trips in the month. The company must ensure that at least 10 trucks are allocated to GoodsX and 15 trucks to GoodsY. The fuel cost per trip for each type of goods decreases by $10 for every $10,000 invested in fuel efficiency upgrades for that type of goods. The initial fuel cost per trip for GoodsX is $200, for GoodsY is $250, and for GoodsZ is $300. The revenue generated per trip is $500 for GoodsX, $600 for GoodsY, and $700 for GoodsZ. The company aims to maximize the total profit from all goods.",395000,1,nonlinear-notable,Total Profit
prob_3,prob_3,There are two ways to extract a metal from mined ores. The first way is to use process J and the second is process P. Process J can extract 5 units of metal using 8 units of water and produces 3 units of pollution. Process P can extract 9 units of metal using 6 units of water and produces 5 units of pollution. There can be at most 1500 units of water 1350 units of pollution. How many of each type of processes should be performed to maximize the amount of metal extracted?,2250,2,linear-notable,The total metal extracted
prob_4,prob_4,"A rectangular garden is to be constructed using a rock wall as one side of the garden and wire fencing for the other three sides. Given 100ft of wire fencing, determine the dimensions that would create a garden of maximum area. What is the maximum area?",1250,3,nonlinear-notable,The maximum area of the garden
prob_5,prob_5,"There are six cities (cities 1-6) in Kilroy County. The county must determine where to build fire stations. The county wants to build the minimum number of fire stations needed to ensure that at least one fire station is within 15 minutes (driving time) of each city. The times (in minutes) required to drive between the cities in Kilroy County are shown in Table 6: Time Required to Travel between Cities in Kilroy County, From City 1 to ctiy 1-6 are 0 10 20 30 30 20; From City 2 to ctiy 1-6 are 10 0 25 35 20 10; From City 3 to ctiy 1-6 are 20 25 0 15 30 20; From City 4 to ctiy 1-6 are 30 35 15 0 15 25; From City 5 to ctiy 1-6 are 30 20 30 15 0 14; From City 5 to ctiy 1-6 are 20 10 20 25 14 0. Formulate an linear problem that will tell Kilroy how many fire stations should be built and where they should be located.",2,4,linear-table,The optimal number of fire stations to be built is
prob_6,prob_6,A milk tea shop has 50000 ml of milk to make two milk teas: black milk tea and green milk tea. A bottle of black milk tea contains 300 ml of milk while a bottle of green milk tea has 200 ml of milk. The shop knows that they need to make at least three times the number of bottles of black milk tea than green milk tea. They also know that they need to make at least 10 bottles of green milk tea. Each bottle of black milk tea is sold for a profit of $2.5 and each bottle of green milk tea is sold for a profit of $7. How many of each type of milk tea needs to be made in order to maximize profit?,655,5,linear-notable,Total profit
prob_7,prob_7,"A logistics company is managing the distribution of three types of goods: GoodsX, GoodsY, and GoodsZ. The company needs to decide how many trucks to allocate for each type of good and how much to invest in route optimization software to optimize delivery efficiency and minimize costs. The relationship between investment in optimization and cost reduction for each type of good is given in the following Table. | Goods | Initial Cost per Truck | Cost Reduction per $100 Investment | |-------|------------------------|-----------------------------------| | GoodsX | $1,000 | $10 | | GoodsY | $1,200 | $12 | | GoodsZ | $1,500 | $15 | The company has a total of 50 trucks available for allocation. The budget for route optimization software is $10,000. Due to contractual obligations, the company must allocate at least 10 trucks for GoodsX and 15 trucks for GoodsY. The company wants to ensure that the total investment in optimization does not exceed the total cost savings from using the software. The company aims to minimize the total delivery cost for all goods.",18000,6,nonlinear-table,Total Cost
prob_8,prob_8,"Jacob has $3000 to invest. He has decided to invest in his favorite clothing company and his favorite tech company. He has decided that the money invested in his favorite clothing company must be at least four times as much as the amount invested in his favorite tech company. He has also limited himself to invest at most $500 in his favorite tech company. If the money invested in his favorite clothing company earns 7% and the money invested in his favorite tech company earns 10%, how much should he invest in each to maximize his profit?",225,7,linear-notable,Total profit
prob_9,prob_9,"Of all rectangles of area 100, which has the smallest perimeter?",40,8,nonlinear-notable,The perimeter of the rectangle
prob_10,prob_10,"A golf course is hosting an event and can transport guests using either golf carts or pull carts. A golf cart can take 4 guests while a pull cart can take 1 guest. Since golf carts take up a lot of space, at most 60% of carts can be golf carts. If the golf course needs to transport at least 80 guests, how many of each cart should be used to minimize the total number of carts needed?",29,9,linear-notable,The total number of carts used
prob_11,prob_11,"To graduate from Basketweavers University with a major in operations research, a student must complete at least two math courses, at least two OR courses, and at least two computer courses. Some courses can be used to fulfill more than one requirement: Calculus can fulfill the math requirement; operations research, math and OR requirements; data structures, computer and math requirements; business statistics, math and OR requirements; computer simulation, OR and computer requirements; introduction to computer programming, computer requirement; and forecasting, OR and math requirements. Some courses are prerequisites for others: Calculus is a prerequisite for business statistics; introduction to computer programming is a prerequisite for computer simulation and for data structures; and business statistics is a prerequisite for forecasting. Minimizes the number of courses needed to satisfy the major requirements.",4,10,linear-notable,The minimum number of courses needed
prob_12,prob_12,"A man on a strict diet only drinks meal replacement drinks from two brands, alpha and omega. The alpha brand drink contains 30 grams of protein, 20 grams of sugar, and 350 calories per bottle. The omega brand drink contains 20 grams of protein, 15 grams of sugar, and 300 calories per bottle. The man wants to get at least 100 grams of protein and 2000 calories. In addition, because the omega brand drink contains tiny amounts of caffeine, at most 35% of the drink should be omega brand. How many bottles of each should he drink to minimize his sugar intake?",110,11,linear-notable,The total sugar intake
prob_13,prob_13,A fashion company sells regular handbags and premium handbags made of higher quality material. They can sell regular handbags at a profit of $30 each and premium handbags at a profit of $180 each. The total monthly cost of manufacturing is $200 per regular handbag and $447 per premium handbag. The company has a total budget of $250000 and can sell at most 475 handbags of either type per month. How many of each handbag should they sell to maximize its monthly profit?,85500,12,linear-notable,The monthly profit
prob_14,prob_14,"A man is trapped in a swamp at the location: (3/4,0). The swamp is a curve that y >= x^2, and x >= 0. The rescue team must stay as close to him as possible so that they can pass a rope to him. Find the BEST LOCATION of the rope required to rescue him.",0.4998083998257366,13,nonlinear-notable,The x cordinate of the best location
prob_15,prob_15,"A bakery produces five types of cakes: C1, C2, C3, C4, and C5. They need to determine the quantities of each cake to produce. For C2, the revenue per unit is $40, the production time per unit is 2 hours, and the ingredient cost per unit is $15. For C3, the revenue per unit is $50, the production time per unit is 3 hours, and the ingredient cost per unit is $20. For C4, the revenue per unit is $60, the production time per unit is 4 hours, and the ingredient cost per unit is $25. For C5, the revenue per unit is $70, the production time per unit is 5 hours, and the ingredient cost per unit is $30. The bakery has a limited production line and can only produce one cake at a time. The bakery wants to maximize the profit efficiency (profit per hour of production time). The bakery has a limited production time of 80 hours. The bakery has a budget of $3000 for ingredient costs. The bakery has a production capacity of 200 units in terms of the number of units it can produce. Due to market demand, the bakery must produce at least 40 units in total. For C1, the revenue per unit is $30, the production time per unit is 1 hour, and the ingredient cost per unit is $10.",20,14,nonlinear-notable,Profit Efficiency
prob_16,prob_16,"A smoothie shop has a promotion for their two smoothies; an acai berry smoothie and a banana chocolate smoothie. It takes 7 units of acai berries and 3 units of water to make the acai berry smoothie. It takes 6 units of banana chocolate and 4 units of water to make the banana chocolate smoothie. Banana chocolate smoothies are more popular and thus the number of banana chocolate smoothies made must be more than the number of acai berry smoothies made. However, the acai berry smoothies have a loyal customer base, and at least 35% of the smoothies made must be acai berry smoothies. If the smoothie shop has 3500 units of acai berries and 3200 units of banana chocolate, to reduce the total amount of water, how many of each smoothie type should be made?",18,15,linear-notable,The total amount of water used
prob_17,prob_17,"A chicken farmer has sold his chicken and they need to be transported either by bus or by car. A bus can take 100 chicken and takes 2 hours per trip. A car can take 40 chicken and takes 1.5 hours per trip. There can be at most 10 bus trips and at least 60% of the trips must be by car. If the farmer needs to transport 1200 chicken, how many trips of each should be done to minimize the total time needed to transport the chicken?",34.5,16,linear-notable,The total time taken to transport the chicken
prob_18,prob_18,"A telecommunications company installs internet service and TV service in buildings. Each internet service takes 60 minutes of wiring time and 10 minutes of box installation time. Each TV service takes 50 minutes of wiring time and 20 minutes of box installation time. The company has available 7000 minutes of wiring time and 4000 minutes of box installation time. If the profit per internet service installation is $100 and the profit per TV service installation is $120, how many of each should be installed to maximize profit?",16800,17,linear-notable,The total profit
prob_19,prob_19,"A manufacturing company produces three types of electronic devices: smartphones, tablets, and laptops. The company has four different production lines, each with varying efficiency and capacity. On production line 1, each worker produces 10 smartphones, 5 tablets, and 3 laptops per hour. On production line 2, each worker produces 8 smartphones, 6 tablets, and 4 laptops per hour. On production line 3, each worker produces 6 smartphones, 7 tablets, and 5 laptops per hour. On production line 4, each worker produces 5 smartphones, 8 tablets, and 6 laptops per hour. The company needs to produce at least 1000 smartphones, 800 tablets, and 600 laptops daily. The production lines can only be operated or shut down at the same time. Determine the minimum number of hours needed to meet the daily demand. There are a total of 50 workers available. Each production line can be staffed by up to 20 workers at a time. The company wants to ensure that at least one production line is fully staffed (20 workers) if it is operational. Each production line has different productivity rates for each device.",20,18,nonlinear-notable,Workers on Production Line 1
prob_20,prob_20,Find the dimensions of the rectangle of largest area having fixed perimeter 100.,625,19,nonlinear-notable,The maximum area of the rectangle
prob_21,prob_21,"There are six cities (cities 1-6) in Kilroy County. The county must determine where to build fire stations. The county wants to build the minimum number of fire stations needed to ensure that at least one fire station is within 15 minutes (driving time) of each city. The times (in minutes) required to drive between the cities in Kilroy County are shown in Table 6: Time Required to Travel between Cities in Kilroy County, From City 1 to ctiy 1-6 are 0 10 20 30 30 20; From City 2 to ctiy 1-6 are 10 0 25 35 20 10; From City 3 to ctiy 1-6 are 20 25 0 15 30 20; From City 4 to ctiy 1-6 are 30 35 15 0 15 25; From City 5 to ctiy 1-6 are 30 20 30 15 0 14; From City 5 to ctiy 1-6 are 20 10 20 25 14 0. Tell Kilroy how many fire stations should be built and where they should be located.",2,20,linear-table,The optimal number of fire stations to be built is
prob_22,prob_22,"On their farm, the Friendly family grows apples that they harvest each fall and make into three products: apple butter, applesauce, and apple jelly. They sell these products at local grocery stores, craft fairs, and at their own Friendly Farm Pumpkin Festival. They have a total of 500 cooking hours available, 240 hours of labor available during the fall, and about 6,500 apples for production. The following Table provides details on the cooking time, labor time, and number of apples required for a 10-gallon batch of each product, as well as the sales revenue generated by each batch. The Friendlys want to know how many batches of each product to produce in order to maximize their revenues. Table (Resource requirements and sales revenue for a 10-gallon batch of each product): | Product | Cooking Time (hrs) | Labor Time (hrs) | Apples Required | Sales Revenue ($) | | ------------- | ------------------ | ---------------- | --------------- | ----------------- | | Apple Butter | 3.5 | 1.2 | 40 | 190 | | Applesauce | 5.2 | 0.8 | 55 | 170 | | Apple Jelly | 2.8 | 1.5 | 20 | 155 |",27510,21,linear-table,Total Revenue
prob_23,prob_23,"A wine company sells two products. Its regular wine and a premium aged wine. The company makes x1 bottles of the regular wine per day and x2 bottled of the premium wine per day (x1 and x2 are unknown values greater than or equal to 0). The profit per bottle of regular wine is $20 ad the profit per bottle of the premium wine is $50. Current demand for the wine is at most 80 bottles of the regular wine per day and at most 50 bottles of the premium wine per day. The company only has enough supply to make 120 bottles of either type each day. How many bottles of each wine, regular and premium, should the company make to maximize profit?",3900,22,linear-notable,Maximum profit per day
prob_24,prob_24,"To protect soil from erosion, some farmers plant winter cover crops such as winter wheat and rye. In addition to conserving soil, cover crops often increase crop yields in the row crops that follow in spring and summer. Suppose that a farmer has 800 acres of land and plans to plant winter wheat and rye. The input cost for 1 acre for each crop is given in the table below along with the cost for machinery and labor. The profit for 1 acre of each crop is also provided. The farmer has budgeted a maximum of $90,000 for input costs and a maximum of $36,000 for labor and machinery. Determine the number of acres of each crop that the farmer should plant to maximize profit. (Assume that all crops will be sold.). What is the maximum profit? If the profit per acre for wheat were $40 and the profit per acre for rye were $45, how many acres of each crop should be planted to maximize profit? Table (Input Cost, Labor/Machinery Cost, and Profit per Acre for Wheat and Rye): | Crop | Input Cost per Acre | Labor/Machinery Cost per Acre | Profit per Acre (Original) | Profit per Acre (Adjusted) | |-------|---------------------|-------------------------------|----------------------------|----------------------------| | Wheat | $90 | $50 | $42 | $40 | | Rye | $120 | $40 | $35 | $45 |",30800,23,linear-table,The maximum profit
prob_25,prob_25,A piece of cardboard is 1 meter by 1/2 meter. A square is to be cut from each corner and the sides folded up to make an open-top box. What are the dimensions of the box with maximum possible volume?,0.02405645428965656,24,nonlinear-notable,The maximum volume of the box
prob_26,prob_26,"A city is planning to install three types of renewable energy sources: solar panels, wind turbines, and hydroelectric plants. The city needs to decide how many units of each type of energy source to install. Additionally, the city must determine the optimal placement of these units to maximize energy output while minimizing environmental impact. The city has a budget of $1,000,000 for the installation of renewable energy sources. The city has a total area of 5000 square meters available for installation. The city wants to ensure that at least 50% of the total energy output comes from solar panels. The city wants to install at least 1 unit of each type of energy source. The energy output from each solar panel is 500 kWh, from each wind turbine is 1000 kWh, and from each hydroelectric plant is 2000 kWh. The environmental impact of each solar panel is 2 units, of each wind turbine is 3 units, and of each hydroelectric plant is 5 units. The city aims to maximize the Energy-Impact Ratio, which is defined as the total energy output divided by the total environmental impact.",307.5852470424496,25,nonlinear-notable,Energy-Impact Ratio
prob_27,prob_27,"You are designing a rectangular poster by cutting from a rectangular piece of paper. The poster must have an area of 100 square inches. The top and bottom margins are 2 inches, and the side margins are 1 inch. What dimensions of the poster should you use to minimize the area of paper used?",164.5685424949238,26,nonlinear-notable,The area of paper used
prob_28,prob_28,Ayse produces a plant growth compound by mixing two types of fertilizer: C and Y. This growth compound must contain at least 5 units of nitrous oxide and 8 units of vitamin mix. Fertilizer C and Y cost $2 and $3 per kg respectively. Fertilizer C contains 1.5 units of nitrous oxide per kg and 3 units of vitamin mix per kg. Fertilizer Y contains 5 units of nitrous oxide per kg and 1 unit of vitamin mix per kg. Determine the minimum cost of Ayse's compound.,5.85185186,27,linear-notable,The minimum cost of the compound
prob_29,prob_29,"A logistics company operates a fleet of trucks and needs to plan the distribution of goods to five different regions: A, B, C, D, and E. The company must decide how many trucks to allocate to each region, considering the capacity and cost of each truck. Additionally, the company is considering leasing extra trucks from a third-party provider. The cost, cost per leased truck, and revenue per truck for each region are given in the following Table. | Region | Cost per Company Truck | Cost per Leased Truck | Revenue per Truck | |--------|------------------------|----------------------|-------------------| | A | $500 | $700 | $1200 | | B | $600 | $800 | $1300 | | C | $700 | $900 | $1400 | | D | $800 | $1000 | $1500 | | E | $900 | $1100 | $1600 | The company has a total of 40 trucks available, including both company-owned and leased trucks. The company has a budget of $25,000 for leasing trucks. Each region must be served by at least 3 trucks. The company aims to maximize the average net profit per truck (considering both company and leased trucks).",700,28,nonlinear-table,Average Net Profit per Truck
prob_30,prob_30,"A high rise building is buying two types of furnaces, a new model and an old model. A new model furnace can heat 10 apartments and consumes 200 kWh per day. An old model can heat 15 apartments and consumes 250 kWh per day. Since the old model is harder to find, at most 35% of the furnaces can be the old model and at least 5 new model furnaces should be used. If the high rise needs to heat at least 200 apartments and has 3500 kWh of electricity available, how many of each furnace should be purchase to minimize the total number of furnaces?",15,29,linear-notable,The total number of furnaces
